,pm2.5,pm10,o3,no2,so2,co
2023-05-12,43.0,12.0,44.0,12.0,1.0,2.0
2023-05-11,51.0,13.0,47.0,11.0,1.0,2.0
2023-05-10,32.0,16.0,50.0,16.0,2.0,3.0
2023-05-09,13.0,9.0,42.0,7.0,1.0,3.0
2023-05-07,45.0,11.0,32.0,5.0,1.0,1.0
2023-05-06,37.0,15.0,38.0,3.0,1.0,1.0
2023-05-05,52.0,13.0,42.0,6.0,1.0,2.0
2023-05-04,41.0,17.0,46.0,12.0,1.0,2.0
2023-05-03,31.0,13.0,44.0,14.0,2.0,2.0
2023-05-02,49.0,9.0,43.0,5.0,1.0,2.0
2023-05-01,28.0,17.0,46.0,7.0,1.0,2.0
2023-04-30,32.0,14.0,29.0,9.0,1.0,2.0
2023-04-29,39.0,11.0,44.0,5.0,1.0,1.0
2023-04-28,26.0,11.0,49.0,11.0,1.0,2.0
2023-04-27,25.0,7.0,49.0,10.0,1.0,2.0
2023-04-26,47.0,14.0,38.0,14.0,1.0,2.0
2023-04-25,44.0,14.0,37.0,14.0,1.0,2.0
2023-04-24,42.0,12.0,41.0,10.0,1.0,2.0
2023-04-23,70.0,12.0,46.0,6.0,1.0,2.0
2023-04-22,58.0,31.0,41.0,7.0,1.0,2.0
2023-04-21,73.0,22.0,45.0,16.0,1.0,3.0
2023-04-20,71.0,30.0,49.0,14.0,3.0,3.0
2023-04-19,59.0,26.0,45.0,20.0,1.0,3.0
2023-04-18,41.0,19.0,37.0,13.0,1.0,2.0
2023-04-17,31.0,12.0,40.0,6.0,1.0,2.0
2023-04-16,34.0,11.0,37.0,10.0,1.0,2.0
2023-04-15,68.0,14.0,34.0,14.0,1.0,2.0
2023-04-14,69.0,31.0,34.0,14.0,1.0,2.0
2023-04-13,46.0,30.0,38.0,11.0,1.0,2.0
2023-04-12,54.0,14.0,39.0,8.0,1.0,2.0
2023-04-11,53.0,17.0,40.0,14.0,1.0,2.0
2023-04-10,47.0,15.0,43.0,15.0,1.0,2.0
2023-04-09,24.0,13.0,45.0,6.0,1.0,2.0
2023-04-08,50.0,9.0,36.0,7.0,1.0,2.0
2023-04-07,36.0,18.0,32.0,9.0,1.0,2.0
